scout,match,robot,team,start_pos,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,problems,card,comments
EC,1,B3,9072,C,3,TRUE,FALSE,20,4,2,6,6,No,FALSE,"1,2",4,,No Card,
MC,1,R1,1719,M,,FALSE,FALSE,0,6,2,0,0,No,FALSE,"4,5",3,,No Card,Only defense
AM,1,R3,401,F,3,TRUE,FALSE,2,2,3,2,7,No,FALSE,2,4,,No Card,"Intake broke in auto, turret. "
BP,1,B1,449,F,3,FALSE,FALSE,14,6,1,3,1,No,FALSE,"1,2,6",3,,No Card,Browned out and just bubbled shots at the end
AZ,1,B2,540,M,,FALSE,FALSE,2,11,1,2,2,No,FALSE,"1,2,4",3,,No Card,A mix of all types of defense 
MH,1,R2,2106,C,3,TRUE,FALSE,17,7,9,6,5,No,FALSE,"3,6,1",3,,No Card,
NS,2,R2,8590,M,,FALSE,FALSE,0,6,0,0,0,No,FALSE,"2,4",2,,No Card,"Ineffective defense, defense only"
EC,2,B3,8592,M,3,FALSE,FALSE,4,0,3,3,4,No,FALSE,"2,1",1,,No Card,Slow
HR,2,R1,3748,F,3,FALSE,FALSE,11,4,2,3,7,No,FALSE,,3,1,No Card,
AD,2,B2,3258,C,,FALSE,FALSE,0,12,0,0,5,No,FALSE,2,4,,No Card,Intake jammed early in teleop
AM,2,R3,4472,C,3,FALSE,FALSE,5,3,1,3,0,No,FALSE,"1,4,5,2,6",3,,No Card,Intake functionality was unreliable. Turret. 
BP,2,B1,2890,F,,FALSE,FALSE,0,0,6,2,8,No,FALSE,"6,2",2,3,No Card,Looked like failed bump NZ auto
AM,3,R3,5549,C,3,TRUE,FALSE,8,3,2,1,0,No,FALSE,"2,4,5,6,3",2,,No Card,
HR,3,R1,10224,F,,TRUE,FALSE,3,0,6,3,5,No,FALSE,6,3,"4,2",No Card,
CC,3,B3,2068,M,,FALSE,FALSE,0,6,2,0,0,No,FALSE,"3,6",4,,No Card,
AZ,3,B2,1086,F,,FALSE,FALSE,8,0,8,4,5,No,FALSE,6,3,,No Card,
