scout,match,robot,team,start_pos,auto_type,auto_bump,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,climb_less_than_5,inactive_strat,driver_rating,problems,card,comments,auto_climb,endgame_climb
LJ,1,B3,10991,M,1,FALSE,3,1,0,0,1,FALSE,2,3,NA,No Card,"Scored like one ball in endgame, focused primarily on counter defense on 6665. Slower over the bump and struggled to stop ramming. Only herded once at the start, drove slowly",NA,NA
NS,1,B2,4450,C,NA,FALSE,0,0,0,0,0,FALSE,NA,3,1,No Card,They died on right trench and no move anymore.,NA,NA
NS,1,B1,2491,F,4,TRUE,14,0,7,3,0,FALSE,6,2,43,No Card,"Got slimed by c otters out of transitional period scoring, big hopper = full hopper more meaningful, kinda just wandered NZ during inactive without purpose, something broke during endgame that took them out of scoring.",NA,NA
NS,1,R1,8069,M,NA,FALSE,5,5,2,2,4,FALSE,26,2,NA,No Card,"BPS low, so much shooting but not many full hoppers.",NA,NA
NS,1,R2,6665,C,NA,FALSE,0,4,2,0,0,FALSE,452,4,NA,No Card,"Auto was just to get into NZ, defense only bot, somewhat lockdown D, cant prevent shots once the robot is in position",NA,NA
NS,1,R3,11214,F,NA,FALSE,0,3,0,0,7,FALSE,52,2,NA,No Card,"shouldnt shovel cus they are kitbot, slow movement",NA,NA
BP,2,B2,2813,C,3,FALSE,0,5,2,3,5,FALSE,16,2,7,No Card,"Almost always had to adjust each volley, as it was over or undershot",NA,NA
LJ,2,B3,7915,M,NA,FALSE,1,7,2,3,7,FALSE,316,4,NA,No Card,"Whiffed preloaded in auto. Very high arc and kinda wide and inaccurate spray. struggled to intake more than half way. Mainly passed from OZ to NZ during inactive, pretty robust when they drove under another robot",NA,NA
CR,2,R3,11242,M,NA,FALSE,5,0,6,0,2,FALSE,23,4,NA,No Card,"Very susceptible to ramming, was never able to intake full",NA,NA
NS,2,B1,5895,C,5,TRUE,10,5,4,3,7,FALSE,31645,5,3,No Card,"Auto got slimed by teammate, very aggressive/thoughtful driver; likes the bump, however, didnt go under trench because bulging hopper. Passing from OZ. Intake broke after 50 seconds and played defense to end match.",NA,NA
NS,2,R2,2582,F,5,TRUE,10,4,5,4,0,FALSE,6,1,NA,No Card,"Not much action during inactive, attempted climb in endgame, aggressive game overall by them.",NA,NA
NS,2,R1,9572,C,3,TRUE,20,4,5,5,0,FALSE,16,4,2,No Card,"Aggressive driving, unintook as a form of passing. Quick cycling which was allowed by a full AZ. Good ball control and control of the NZ.",NA,NA
AZ,3,B1,7769,C,3,FALSE,16,12,0,5,7,FALSE,13,5,NA,No Card,NA,NA,NA
BP,3,B2,449,F,5,FALSE,0,4,3,5,5,FALSE,216,3,76,No Card,Started browning out early,NA,NA
CR,3,R3,6487,C,56,TRUE,10,5,3,3,3,FALSE,21,3,4,No Card,Got stuck on the bump in auto,NA,NA
HR,3,R2,16,F,3,FALSE,0,2,5,2,2,FALSE,164,3,NA,No Card,Crossed the line during auto,NA,NA
